장르,공연건수,상연횟수,취소수,총 티켓판매수,총 티켓판매액,예매수,날짜
뮤지컬,422,3333,17366,17237,1038646094,34603,20231216
뮤지컬,402,3234,12424,17093,966443334,29517,20231217
뮤지컬,389,3260,19825,31247,1314302784,51072,20231218
뮤지컬,399,3497,22850,32009,2515757438,54859,20231219
뮤지컬,407,3630,23062,35421,1953141760,58483,20231220
뮤지컬,396,3535,21511,32269,1700239680,53780,20231221
뮤지컬,405,3609,20685,44044,1480410840,64729,20231222
뮤지컬,422,3429,22002,20509,1233355088,42511,20231223
뮤지컬,390,3077,18770,13678,974209160,32448,20231224
뮤지컬,346,2852,17829,10592,853620300,28421,20231225
뮤지컬,351,3015,18883,19056,1022862762,37939,20231226
뮤지컬,357,3185,23513,16514,1139345212,40027,20231227
뮤지컬,360,3081,20767,21941,1630620946,42708,20231228
뮤지컬,369,3153,23148,30453,2227894030,53601,20231229
뮤지컬,359,2837,16819,16920,1107267470,33739,20231230
뮤지컬,327,2578,15697,14131,943898190,29828,20231231
