날짜,스트레스,취업
2021-03-01,55.47744,100.0
2021-04-01,51.90392,82.71821
2021-05-01,50.26362,79.84768
2021-06-01,56.00468,78.32454
2021-07-01,50.49794,83.12829
2021-08-01,47.68599,80.96074
2021-09-01,45.57703,70.47451
2021-10-01,42.17926,66.78383
2021-11-01,42.00351,62.44874
2021-12-01,37.727,68.95137
2022-01-01,47.15875,74.69244
2022-02-01,44.87404,75.39543
2022-03-01,49.67779,78.61745
2022-04-01,49.3263,70.12302
2022-05-01,51.61101,64.67486
2022-06-01,44.58113,69.53719
2022-07-01,44.99121,62.74165
2022-08-01,43.87814,59.05096
2022-09-01,43.11657,57.05916
2022-10-01,48.21323,59.46104
2022-11-01,43.05799,55.06736
